PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,0.8382492242522089,0.4819386942217418,0.0,12325256.155753585,0.9999999899988308,1027.61,16.44940226888643,9.999999600000017e-09,208.87572776890423,0.00025,2.25e-05
1,0.5749542467045162,0.3598350374717925,0.0,12566597.009718994,0.9999993013049852,1027.61,16.44940226888643,6.98660473412637e-07,213.99788029762985,0.00025,2.25e-05
2,0.520851089268432,0.2240468681679896,0.0,12688724.185647618,0.9973641507617096,1027.61,16.44940226888643,0.0026358492382904,216.6035922919766,0.00025,2.25e-05
3,0.5634481417582891,0.2256765764546934,0.0,12642186.396077432,0.9992887760833586,1027.61,16.44940226888643,0.0007112239166414,215.60958678478409,0.00025,2.25e-05
4,0.5710723266263091,0.275799659067333,0.0,12612329.244837835,0.9999977976894462,1027.61,16.44940226888643,2.196857941930231e-06,214.972558949707,0.00025,2.25e-05
5,0.5575294609462349,0.2386927419029286,0.0,12642776.138556082,0.999330996860688,1027.61,16.44940226888643,0.000669003139312,215.62217492018704,0.00025,2.25e-05
6,0.6029491276515034,0.3148826525698616,0.0,12564570.689845162,0.9999988887213128,1027.61,16.44940226888643,1.1118093768323458e-06,213.9547236024278,0.00025,2.25e-05
7,0.5129724631421295,0.1977520836990858,0.0,12709742.491588688,0.996047821288677,1027.61,16.44940226888643,0.0039521787113231,217.0529547571398,0.00025,2.25e-05
8,0.5425652582606664,0.2053947682423957,0.0,12673049.534735449,0.998342106608487,1027.61,16.44940226888643,0.001657893391513,216.26864895069176,0.00025,2.25e-05
9,0.5283193871053682,0.2264844891164495,0.0,12679363.532286683,0.9978540755093488,1027.61,16.44940226888643,0.0021459244906512,216.4035515218482,0.00025,2.25e-05
10,0.6388107934077655,0.3049710991290983,0.0,12537384.161150295,0.9999998299472498,1027.61,16.44940226888643,1.7004359869181546e-07,213.3759476832744,0.00025,2.25e-05
11,0.5594113885436756,0.2150744800422652,0.0,12650828.684054185,0.9990840808268796,1027.61,16.44940226888643,0.0009159191731205,215.7940788128788,0.00025,2.25e-05
12,0.5051506281775484,0.2062454431422483,0.0,12714911.824799612,0.995602725979205,1027.61,16.44940226888643,0.0043972740207952,217.16351379635944,0.00025,2.25e-05
13,0.5088642508688996,0.2052143735315907,0.0,12711104.32525779,0.995941559182014,1027.61,16.44940226888643,0.004058440817986,217.0820793904772,0.00025,2.25e-05
14,0.5130364126492275,0.2130697049415215,0.0,12702656.536003651,0.996653467914778,1027.61,16.44940226888643,0.0033465320852219,216.90143019741504,0.00025,2.25e-05
15,0.6570364783648377,0.2908070736315772,0.0,12527211.146965204,0.9999999899481252,1027.61,16.44940226888643,1.005077190948119e-08,213.15949090238877,0.00025,2.25e-05
16,0.6023594234936214,0.3332991501241402,0.0,12556443.099661078,0.9999992297648088,1027.61,16.44940226888643,7.700748544094526e-07,213.7816470410324,0.00025,2.25e-05
17,0.5890914525929452,0.3261775464631268,0.0,12571514.280036597,0.9999988499399952,1027.61,16.44940226888643,1.149852936636338e-06,214.102619146785,0.00025,2.25e-05
18,0.5160205124465407,0.206163161535969,0.0,12702447.523466527,0.9967098723219274,1027.61,16.44940226888643,0.0032901276780724,216.89696117849655,0.00025,2.25e-05
19,0.5944259893308496,0.3035481677643434,0.0,12577502.564508354,0.9999984312990562,1027.61,16.44940226888643,1.5667762068896737e-06,214.23019088449533,0.00025,2.25e-05
20,0.5213167867027854,0.2134627465189471,0.0,12693138.018665235,0.9973702687932222,1027.61,16.44940226888643,0.0026297312067777,216.6979360114597,0.00025,2.25e-05
21,0.5047560385956698,0.2126766633640959,0.0,12712277.100033598,0.9958609366389805,1027.61,16.44940226888643,0.0041390633610195,217.1071616436923,0.00025,2.25e-05
22,0.555374635329062,0.2044723836298372,0.0,12659457.618658535,0.9988805079010066,1027.61,16.44940226888643,0.0011194920989935,215.97833111671923,0.00025,2.25e-05
23,0.5681168781345369,0.2094977857448434,0.0,12643835.115181005,0.9993538618949144,1027.61,16.44940226888643,0.0006461381050855,215.64477945554373,0.00025,2.25e-05
24,0.5666802060477258,0.2414807068364002,0.0,12632159.015741406,0.9996892679881932,1027.61,16.44940226888643,0.0003107320118069,215.39558339170333,0.00025,2.25e-05
