PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,0.4425719774668061,0.2983427985043144,0.0,12716753.032544054,0.991101119415016,1027.61,29.91268053287073,0.0088988805849837,217.2028964940872,0.00025,2.25e-05
1,0.4332812889220763,0.3465385507888519,0.0,12690214.123553736,0.9945961019689746,1027.61,29.91268053287073,0.0054038980310253,216.63543773440497,0.00025,2.25e-05
2,0.4114788416162531,0.3253817874445389,0.0,12728883.058211086,0.8655560442985439,1027.61,29.91268053287073,0.1344439557014559,217.4624039724731,0.00025,2.25e-05
3,0.460390339446906,0.2874737341293611,0.0,12705225.470327117,0.994030071872184,1027.61,29.91268053287073,0.0059699281278159,216.9563602357381,0.00025,2.25e-05
4,0.4261413860871449,0.3146828976117878,0.0,12722017.30513787,0.969504509462772,1027.61,29.91268053287073,0.030495490537228,217.3155084579884,0.00025,2.25e-05
5,0.4294625958924263,0.3391139692806212,0.0,12699605.546161631,0.9937396617301676,1027.61,29.91268053287073,0.0062603382698322,216.83619782473212,0.00025,2.25e-05
6,0.4165721687550449,0.3338512623297985,0.0,12716611.882768257,0.9893699315592333,1027.61,29.91268053287073,0.0106300684407667,217.19987728443635,0.00025,2.25e-05
7,0.4143196350171684,0.3403890586669309,0.0,12713538.495917017,0.990132554558917,1027.61,29.91268053287073,0.0098674454410827,217.1341401719465,0.00025,2.25e-05
8,0.4284527015331952,0.3478255317699142,0.0,12693825.6941096,0.9942873245558964,1027.61,29.91268053287073,0.0057126754441036,216.7126358299316,0.00025,2.25e-05
9,0.4508681304425485,0.3590780606803658,0.0,12664450.37292812,0.9968691935190704,1027.61,29.91268053287073,0.0031308064809296,216.08496129456424,0.00025,2.25e-05
10,0.4472110598206159,0.3484152942451703,0.0,12675635.129258169,0.9962324808398216,1027.61,29.91268053287073,0.0037675191601782,216.32388889830685,0.00025,2.25e-05
11,0.4412316686361753,0.3400418015551087,0.0,12687478.87219301,0.9948531184621996,1027.61,29.91268053287073,0.0051468815378003,216.5769764030649,0.00025,2.25e-05
12,0.416058706454941,0.3437740881876168,0.0,12709062.843539398,0.9916845862996302,1027.61,29.91268053287073,0.0083154137003696,217.03841999390383,0.00025,2.25e-05
13,0.411646009989977,0.335265051645479,0.0,12720484.176130287,0.9710655122980856,1027.61,29.91268053287073,0.0289344877019142,217.28271043282805,0.00025,2.25e-05
14,0.4199218213552117,0.3387089734318856,0.0,12709335.467292938,0.9915146790820129,1027.61,29.91268053287073,0.008485320917987,217.04425021581167,0.00025,2.25e-05
15,0.5241545485992672,0.3028243098365426,0.0,12631416.000109725,0.9993008505321754,1027.61,29.91268053287073,0.0006991494678246,215.3797284625892,0.00025,2.25e-05
16,0.4883137451537848,0.3550845933659214,0.0,12633153.659352548,0.9988024006703468,1027.61,29.91268053287073,0.0011975993296531,215.41680824203544,0.00025,2.25e-05
17,0.5480516783558602,0.266557958266396,0.0,12626886.459056493,0.9993874350229588,1027.61,29.91268053287073,0.0006125649770412,215.2830815869552,0.00025,2.25e-05
18,0.4979746825320069,0.3638273985846413,0.0,12618835.659481576,0.9996281346478192,1027.61,29.91268053287073,0.0003718653521809,215.11133248631663,0.00025,2.25e-05
