PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,4.960770452172948,4.501541333130535,0.0,10531468.821061123,0.9999999899641332,1027.61,0.7715610000000002,1.0045227016505934e-08,172.0151230258147,0.00025,2.25e-05
1,4.808658282676054,4.538060234217141,0.0,10267152.300345294,0.999999989906418,1027.61,0.7715610000000002,1.032805479669366e-08,166.77368270953573,0.00025,2.25e-05
2,4.619797016432502,4.675275976733514,0.0,10260719.046442758,0.9999999899070606,1027.61,0.7715610000000002,1.033484022654534e-08,166.64673785046716,0.00025,2.25e-05
3,4.508393279963922,3.492649700492441,0.0,10782347.30034414,0.9999999899611096,1027.61,0.7715610000000002,1.004312914095041e-08,177.0363982134263,0.00025,2.25e-05
4,4.864279774285243,4.518772381993784,0.0,10265077.87295129,0.9999999899125884,1027.61,0.7715610000000002,1.0327614006752278e-08,166.73274558651605,0.00025,2.25e-05
5,3.941137797724925,3.4294366546082005,0.0,10915305.854310948,0.9999999899624674,1027.61,0.7715610000000002,1.00440539633259e-08,179.71567244790475,0.00025,2.25e-05
6,3.1047674780825822,3.648580997003213,0.0,11053135.123491718,0.9999999899520324,1027.61,0.7715610000000002,1.0044251438587373e-08,182.50626184647663,0.00025,2.25e-05
7,4.999999999999998,2.7917547209448488,0.0,11001805.834089885,0.9999999899641592,1027.61,0.7715610000000002,1.0048724164420271e-08,181.46545198828292,0.00025,2.25e-05
8,4.738750716346328,4.573679918616959,0.0,10255796.731190853,0.9999999899084688,1027.61,0.7715610000000002,1.0341588548610057e-08,166.54962794053455,0.00025,2.25e-05
9,3.4253329330140048,5.000000000000001,0.0,10773922.330172408,0.9999999899849514,1027.61,0.7715610000000002,1.0056906196263285e-08,176.86704691632568,0.00025,2.25e-05
10,4.999999999999998,3.875585609752375,0.0,10537669.640813457,0.9999999899721173,1027.61,0.7715610000000002,1.0032623102970144e-08,172.13868905067216,0.00025,2.25e-05
11,4.77300474899249,4.554496738485522,0.0,10263436.805301826,0.9999999899065825,1027.61,0.7715610000000002,1.033226081856416e-08,166.70036266513912,0.00025,2.25e-05
12,4.755689378172478,4.563751997067894,0.0,10260089.887515556,0.9999999899068244,1027.61,0.7715610000000002,1.0336706693930522e-08,166.63432451097427,0.00025,2.25e-05
13,3.766578614466072,3.8594108653471695,0.0,10828380.955942798,0.999999989935069,1027.61,0.7715610000000002,1.0042296232600124e-08,177.96261521790987,0.00025,2.25e-05
14,4.607341533766256,4.69045302635147,0.0,10258141.48007821,0.999999989906852,1027.61,0.7715610000000002,1.0337814033386376e-08,166.59588414179706,0.00025,2.25e-05
15,4.941231301327839,4.50346577151582,0.0,10511846.83927934,0.9999999899645914,1027.61,0.7715610000000002,1.0032117210092968e-08,171.6242901391127,0.00025,2.25e-05
16,4.999999999999998,4.5,0.0,10536688.025016757,0.9999999899645352,1027.61,0.7715610000000002,1.004536662142372e-08,172.1191261946755,0.00025,2.25e-05
17,4.465183112909015,2.6906681575984592,0.0,11052519.508596404,0.999999989954855,1027.61,0.7715610000000002,1.0046646582511086e-08,182.49376800514895,0.00025,2.25e-05
18,4.115696980983779,2.9994624438692314,0.0,11005624.794684518,0.9999999899396734,1027.61,0.7715610000000002,1.0044420593592082e-08,181.54282581185197,0.00025,2.25e-05
19,3.6016600152339477,3.4871403512237595,0.0,10970213.118361115,0.9999999899663558,1027.61,0.7715610000000002,1.0041761548905997e-08,180.82576282832576,0.00025,2.25e-05
20,2.619664336141222,3.818707809858625,0.0,11141916.73463302,0.9999999899406812,1027.61,0.7715610000000002,1.0043092176252625e-08,184.3108519051872,0.00025,2.25e-05
21,2.396055184107059,3.2553057293187626,0.0,11270289.591647483,0.9999999899737176,1027.61,0.7715610000000002,1.0042446757827937e-08,186.9298927503361,0.00025,2.25e-05
22,2.560965926702273,3.523774577625818,0.0,11196851.096717326,0.999999989961316,1027.61,0.7715610000000002,1.0042827966884091e-08,185.43021150531135,0.00025,2.25e-05
23,2.412667946873305,2.9638369540123755,0.0,11315418.274735184,0.9999999899736128,1027.61,0.7715610000000002,1.0042063995444884e-08,187.85331457654544,0.00025,2.25e-05
24,2.6970155380105827,3.0220104701198247,0.0,11253302.111011578,0.9999999899603128,1027.61,0.7715610000000002,1.0042266083961011e-08,186.58266037871675,0.00025,2.25e-05
25,2.6853340108591306,2.6738048210379195,0.0,11317141.559402565,0.9999999899544888,1027.61,0.7715610000000002,1.0044292114565489e-08,187.88860426791817,0.00025,2.25e-05
