PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
12,1.9853041381732013,0.1072037033198216,0.0,11848626.029525416,0.9999999899732324,1027.61,1.3579476910000003,1.0024201477169091e-08,198.86905162417864,0.00025,2.25e-05
13,2.1169464704954857,0.0,0.0,11808440.095380085,0.9999999899728612,1027.61,1.3579476910000003,1.002325651653919e-08,198.03216105286597,0.00025,2.25e-05
14,1.6694252387650663,0.1631287160894665,0.0,11960796.607011864,0.9999999899786934,1027.61,1.3579476910000003,1.0024599345204921e-08,201.21071320128888,0.00025,2.25e-05
15,1.458988626188059,0.3167838447874267,0.0,12038452.703435907,0.9999999899997948,1027.61,1.3579476910000003,1.0001032594679798e-08,202.83670071993785,0.00025,2.25e-05
16,2.13755212474596,0.4755843620477586,0.0,11782970.480007589,0.999999989987216,1027.61,1.3579476910000003,1.0023766753001508e-08,197.5023010283364,0.00025,2.25e-05
17,1.3073199069787953,0.8287090434733813,0.0,12011489.346636234,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000018e-09,202.27168640309068,0.00025,2.25e-05
18,1.3570573540614388,0.5737169305993378,0.0,12045883.09187459,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,202.9924871122429,0.00025,2.25e-05
19,1.5367098006338191,0.3976700681125871,0.0,11996869.11295766,0.9999999899764304,1027.61,1.3579476910000003,1.0024242931553133e-08,201.9655196059372,0.00025,2.25e-05
20,2.1632542309905,0.3057816241585693,0.0,11786479.135513294,0.9999999899767016,1027.61,1.3579476910000003,1.0024119331457273e-08,197.57526805551635,0.00025,2.25e-05
21,1.5301084178370736,0.9044782307736108,0.0,11917639.051779896,0.9999999899766014,1027.61,1.3579476910000003,1.0023740714987202e-08,200.30877759955288,0.00025,2.25e-05
22,1.906299873651624,0.0,0.0,11876161.041200409,0.999999989981798,1027.61,1.3579476910000003,1.0024135933321272e-08,199.4430997529768,0.00025,2.25e-05
23,1.9483064737749405,0.8122875571342042,0.0,11803223.51385266,0.999999989973558,1027.61,1.3579476910000003,1.0024178893201404e-08,197.9236021081445,0.00025,2.25e-05
24,1.1901078545188033,1.5896988651163664,0.0,11839977.380283752,0.9999999899915748,1027.61,1.3579476910000003,1.0022656194734436e-08,198.68884891026312,0.00025,2.25e-05
25,1.112727816842373,0.8325510519713785,0.0,12084419.79269274,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000012e-09,203.80102869410877,0.00025,2.25e-05
26,1.4071985425823712,1.0965316432264984,0.0,11913898.34785546,0.9999999899769008,1027.61,1.3579476910000003,1.002490881603671e-08,200.2306596333364,0.00025,2.25e-05
27,1.4439070517015256,1.2374478896341985,0.0,11869435.698737402,0.9999999899794406,1027.61,1.3579476910000003,1.0025117970725205e-08,199.30284388708571,0.00025,2.25e-05
28,1.1823227184352076,1.009741295868096,0.0,12007408.03355327,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,202.18620430487576,0.00025,2.25e-05
29,1.669821710794432,1.3660578301787512,0.0,11781803.635363108,0.9999999899741436,1027.61,1.3579476910000003,1.0025599468946276e-08,197.47803680535404,0.00025,2.25e-05
30,1.4603890753801685,1.3538062826039363,0.0,11837481.151812488,0.999999989968494,1027.61,1.3579476910000003,1.0025383477868331e-08,198.6368468848237,0.00025,2.25e-05
31,1.6754549081614245,1.5092338951470403,0.0,11749986.601996196,0.9999999899876532,1027.61,1.3579476910000003,1.0025472101099317e-08,196.81676051685375,0.00025,2.25e-05
32,1.316317993425768,0.9785000741169164,0.0,11971882.09956605,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000022e-09,201.44258297222464,0.00025,2.25e-05
33,1.704892594652036,1.227198375420166,0.0,11801217.769574454,0.9999999899671398,1027.61,1.3579476910000003,1.0024795556463372e-08,197.88186666966345,0.00025,2.25e-05
34,1.235540847176348,1.3148956924972035,0.0,11905419.92968006,0.9999999899685716,1027.61,1.3579476910000003,1.0023719852312886e-08,200.05363708598745,0.00025,2.25e-05
35,1.4173856636365196,1.5300209251205428,0.0,11804840.53805708,0.9999999899849832,1027.61,1.3579476910000003,1.0025300314062808e-08,197.9572510274678,0.00025,2.25e-05
36,1.2448213127070016,0.9192251696707386,0.0,12011312.933082866,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,202.267991239399,0.00025,2.25e-05
37,1.1813366166150734,1.1225927226543544,0.0,11975669.394377075,0.9999999899998812,1027.61,1.3579476910000003,9.999999600000018e-09,201.52181843289188,0.00025,2.25e-05
38,1.2929352706187034,1.1467544915947034,0.0,11935262.292118166,0.9999999899731404,1027.61,1.3579476910000003,1.002430167388795e-08,200.67693181115712,0.00025,2.25e-05
39,1.527684709426938,1.1428358413040092,0.0,11867722.990711665,0.999999989973532,1027.61,1.3579476910000003,1.0025033406930871e-08,199.26713043947169,0.00025,2.25e-05
40,1.892464247220801,1.4686339720663215,0.0,11708164.745588562,0.9999999899797116,1027.61,1.3579476910000003,1.0024166938130718e-08,195.94857726732496,0.00025,2.25e-05
41,1.2522243965284487,1.7240768917147191,0.0,11791406.169645092,0.999999989974185,1027.61,1.3579476910000003,1.0024940142161051e-08,197.67774596079988,0.00025,2.25e-05
42,1.4948934812380612,1.6469806994472511,0.0,11759554.936646914,0.9999999899719147,1027.61,1.3579476910000003,1.0025085680535321e-08,197.0155549667271,0.00025,2.25e-05
43,1.6836207423490313,1.650877701907313,0.0,11718339.28281688,0.9999999899758192,1027.61,1.3579476910000003,1.0024611846464994e-08,196.15968337132597,0.00025,2.25e-05
44,2.040501541237225,1.0706132648215136,0.0,11740737.86729416,0.9999999899800596,1027.61,1.3579476910000003,1.0023600625954785e-08,196.6246643823617,0.00025,2.25e-05
45,2.041880374637092,1.2909392617438886,0.0,11705128.799071249,0.999999989981199,1027.61,1.3579476910000003,1.0024511780495298e-08,195.88559947379196,0.00025,2.25e-05
46,1.7932038030706297,0.3879589889314358,0.0,11900783.861840772,0.9999999899743048,1027.61,1.3579476910000003,1.002449317704822e-08,199.95685978888272,0.00025,2.25e-05
47,1.6028822206899327,0.4689237487224985,0.0,11962642.63226958,0.999999989983396,1027.61,1.3579476910000003,1.0024643736340576e-08,201.24931999960413,0.00025,2.25e-05
48,1.9410459295651656,0.3710989572803579,0.0,11851843.648970185,0.999999989978722,1027.61,1.3579476910000003,1.0023872656207206e-08,198.9361064100522,0.00025,2.25e-05
49,1.261712741764618,0.6552596688267998,0.0,12070124.469952185,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000012e-09,203.5009847067797,0.00025,2.25e-05
50,1.487499999998009,0.0,0.0,12041616.184623042,0.9999999899886952,1027.61,1.3579476910000003,1.0016912199321176e-08,202.9030222363413,0.00025,2.25e-05
51,1.4331602496990414,0.680561867807108,0.0,11995583.47980694,0.9999999899895624,1027.61,1.3579476910000003,1.0011896195475296e-08,201.9386034591748,0.00025,2.25e-05
52,1.6837305597698493,0.3170409696880489,0.0,11946294.99938007,0.9999999899770318,1027.61,1.3579476910000003,1.0024608681903533e-08,200.90751212550737,0.00025,2.25e-05
53,1.6751898293268366,1.0914520781343402,0.0,11836642.758863503,0.9999999899787784,1027.61,1.3579476910000003,1.002419192111676e-08,198.61938221176487,0.00025,2.25e-05
54,2.362483694536404,0.4560712212361471,0.0,11722948.529381111,0.9999999899711748,1027.61,1.3579476910000003,1.0023756638319166e-08,196.2553410520856,0.00025,2.25e-05
55,1.5253337644237457,0.1632163637670563,0.0,12020643.842373949,0.9999999899872064,1027.61,1.3579476910000003,1.0018869784283372e-08,202.46346466739132,0.00025,2.25e-05
56,2.2074189251342493,0.7748649673499721,0.0,11736093.666830434,0.9999999899707072,1027.61,1.3579476910000003,1.0023272737575774e-08,196.52822597824036,0.00025,2.25e-05
57,1.5874999999977155,0.0,0.0,11998031.357186388,0.9999999899748994,1027.61,1.3579476910000003,1.0024433647931406e-08,201.9898534009832,0.00025,2.25e-05
58,1.5640324963297236,0.2614728104353281,0.0,11998028.355643503,0.9999999899737392,1027.61,1.3579476910000003,1.0024563199089685e-08,201.98979055683088,0.00025,2.25e-05
59,1.7968699566559103,0.8228136665272421,0.0,11847438.487990463,0.9999999899834912,1027.61,1.3579476910000003,1.0023595364737093e-08,198.8443051428556,0.00025,2.25e-05
60,1.5534048386689123,1.0039829122879629,0.0,11889952.37585154,0.9999999899769666,1027.61,1.3579476910000003,1.002443749882462e-08,199.73080930252385,0.00025,2.25e-05
61,1.6700516178634404,0.926885243059366,0.0,11868784.763147913,0.999999989966054,1027.61,1.3579476910000003,1.002359271683717e-08,199.289270326532,0.00025,2.25e-05
62,1.692549830848491,0.4905064936677809,0.0,11926603.43272952,0.999999989973508,1027.61,1.3579476910000003,1.002465435171566e-08,200.49602034430853,0.00025,2.25e-05
63,1.8640179584782928,1.1220481693260065,0.0,11778814.077450655,0.9999999899822044,1027.61,1.3579476910000003,1.002413677351927e-08,197.41587389229292,0.00025,2.25e-05
64,2.1569026255287054,0.6090737606472235,0.0,11766203.553743284,0.999999989977894,1027.61,1.3579476910000003,1.0024125413282704e-08,197.15372457356065,0.00025,2.25e-05
65,2.082645798885549,0.9157329587256124,0.0,11752152.349841932,0.999999989980062,1027.61,1.3579476910000003,1.00237139125486e-08,196.86175135062877,0.00025,2.25e-05
66,2.04026740349581,0.3096953811087701,0.0,11823534.518684894,0.9999999899764404,1027.61,1.3579476910000003,1.0024086886237394e-08,198.34638348131904,0.00025,2.25e-05
67,2.3783058969775523,0.0,0.0,11732813.038984405,0.9999999899663614,1027.61,1.3579476910000003,1.0023613595974425e-08,196.46011133010623,0.00025,2.25e-05
68,2.270780063984025,0.1528908120792846,0.0,11760424.960049331,0.9999999899834108,1027.61,1.3579476910000003,1.002333279910631e-08,197.03363385733093,0.00025,2.25e-05
69,2.3594355391280466,0.2669086173883215,0.0,11733224.970813405,0.999999989974994,1027.61,1.3579476910000003,1.0023314690973937e-08,196.4686637458065,0.00025,2.25e-05
70,2.216985123996158,1.0191783603170212,0.0,11704178.106924854,0.999999989971884,1027.61,1.3579476910000003,1.0023042938654928e-08,195.86587955098463,0.00025,2.25e-05
71,1.5300821803144404,0.6662576955667828,0.0,11962120.441522587,0.9999999899699638,1027.61,1.3579476910000003,1.0024193022222246e-08,201.2383989507828,0.00025,2.25e-05
72,1.1814419638993807,0.6323461907614105,0.0,12110151.718571536,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000022e-09,204.3414493305684,0.00025,2.25e-05
73,1.3847018667518474,0.1221387352797029,0.0,12086627.711552218,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,203.84738245228831,0.00025,2.25e-05
74,0.9943856902614188,0.8258015816151408,0.0,12134283.79154342,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,204.84865957582792,0.00025,2.25e-05
75,1.16105191755888,0.710233013360785,0.0,12099065.819831204,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,204.1085711970176,0.00025,2.25e-05
76,1.0394299055751492,0.940955443232392,0.0,12078517.647509484,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000008e-09,203.67713270123093,0.00025,2.25e-05
77,1.092882399761906,1.071519919684686,0.0,12018277.370077696,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000025e-09,202.41388400110347,0.00025,2.25e-05
78,2.3742185607159234,1.0080808914586812,0.0,11667915.743464733,0.9999999899770852,1027.61,1.3579476910000003,1.0022407862061516e-08,195.11415368226383,0.00025,2.25e-05
79,1.2969910758098655,0.4976623609409624,0.0,12086233.691558955,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000022e-09,203.83911003793327,0.00025,2.25e-05
80,1.3697012501311017,0.3718759952976849,0.0,12071906.135591602,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000018e-09,203.538372775714,0.00025,2.25e-05
81,2.63277425727406,0.2269669453861769,0.0,11666928.551788105,0.9999999899869332,1027.61,1.3579476910000003,1.002279871158386e-08,195.09370137631012,0.00025,2.25e-05
82,2.506568455035458,0.6712282346086361,0.0,11671040.27900327,0.9999999899767168,1027.61,1.3579476910000003,1.0022844678664451e-08,195.17889108675743,0.00025,2.25e-05
83,1.0721050626805968,1.1889401318698094,0.0,11987675.545098834,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000018e-09,201.7730659387961,0.00025,2.25e-05
84,1.3774999999983328,0.0,0.0,12092929.36025413,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,203.9796986916076,0.00025,2.25e-05
85,2.473583377208131,1.1997022820372936,0.0,11620841.704749096,0.9999999899874198,1027.61,1.3579476910000003,1.0021668390658418e-08,194.1396209253811,0.00025,2.25e-05
86,2.7189888592007723,0.5067138490876992,0.0,11634895.674137076,0.9999999899844252,1027.61,1.3579476910000003,1.00226097446877e-08,194.4304114189408,0.00025,2.25e-05
87,1.087020298805746,1.3558100631453112,0.0,11931359.455207292,0.9999999899973364,1027.61,1.3579476910000003,9.999999600000012e-09,200.59538286195533,0.00025,2.25e-05
88,1.377553890332428,0.2213449809314444,0.0,12084063.435689917,0.9999999900000004,1027.61,1.3579476910000003,9.999999600000017e-09,203.7935475172688,0.00025,2.25e-05
89,2.289851355920121,1.313610479006903,0.0,11644602.25947472,0.9999999899739426,1027.61,1.3579476910000003,1.0022482965303547e-08,194.63132810882843,0.00025,2.25e-05
90,1.5112251496132778,1.930268312967798,0.0,11691654.779200228,0.9999999899710637,1027.61,1.3579476910000003,1.0025000885053456e-08,195.60616858120284,0.00025,2.25e-05
