PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,4.960770452172948,4.501541333130534,0.0,10244865.10782327,0.9999999898579922,1027.61,0.331,1.006751164824391e-08,166.33402600226853,0.00025,2.25e-05
1,3.738311318956929,2.7186237534774844,0.0,11168314.348985432,0.9999999899221028,1027.61,0.331,9.999999600000022e-09,184.8484756253268,0.00025,2.25e-05
2,2.4568079902766287,4.183173621465372,0.0,11172547.392895749,0.9999999899484616,1027.61,0.331,9.999999600000022e-09,184.9347325475308,0.00025,2.25e-05
3,4.999999999999998,4.5,0.0,10246960.783373138,0.9999999898561208,1027.61,0.331,1.0070186070510012e-08,166.37535184593384,0.00025,2.25e-05
4,2.7231829457472427,4.591586810732686,0.0,11075540.40920912,0.9999999899568742,1027.61,0.331,9.999999600000017e-09,182.9611554672049,0.00025,2.25e-05
5,4.845491501728919,4.524471742204508,0.0,10244500.42232045,0.9999999898635656,1027.61,0.331,1.0063822072599313e-08,166.32683488125548,0.00025,2.25e-05
6,4.864279774285243,4.518772381993784,0.0,10242026.06357174,0.9999999898667004,1027.61,0.331,1.0068657830573686e-08,166.2780463028215,0.00025,2.25e-05
7,4.569114133539355,3.959752769979001,0.0,10602783.88714765,0.9999999898392266,1027.61,0.331,9.999999600000017e-09,173.4379071098337,0.00025,2.25e-05
8,4.999999999999998,3.882061297821825,0.0,10596151.919931073,0.9999999898307356,1027.61,0.331,9.999999600000017e-09,173.30544138408376,0.00025,2.25e-05
9,4.722214882283181,4.584265194655231,0.0,10233103.660150498,0.9999999899575304,1027.61,0.331,1.0097613785455496e-08,166.10215409205247,0.00025,2.25e-05
10,4.646446608378687,4.646446610434767,0.0,10245369.227216495,0.9999999898485716,1027.61,0.331,1.0109233323296346e-08,166.34396673548065,0.00025,2.25e-05
11,4.260703120196849,2.964158156271807,0.0,11035718.068795104,0.9999999899165632,1027.61,0.331,9.999999600000022e-09,182.15288705924505,0.00025,2.25e-05
12,4.59549150220861,4.706107374684983,0.0,10236347.412368257,0.9999999898698972,1027.61,0.331,1.0131350996445037e-08,166.1660932920347,0.00025,2.25e-05
13,2.560965926702274,3.5237745776258182,0.0,11237026.012420908,0.9999999899431924,1027.61,0.331,9.999999600000022e-09,186.25015655991305,0.00025,2.25e-05
14,4.221145219853295,4.221143298591472,0.0,10589280.203651195,0.999999989900086,1027.61,0.331,9.999999600000018e-09,173.1682201277261,0.00025,2.25e-05
15,4.607341533766257,4.69045302635147,0.0,10240139.121230058,0.9999999898635432,1027.61,0.331,1.0123484084850848e-08,166.24084317921333,0.00025,2.25e-05
16,4.20307036458449,3.350909709455828,0.0,10926687.47690726,0.9999999899442592,1027.61,0.331,9.999999600000017e-09,179.94560640387368,0.00025,2.25e-05
