PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,0.2469739211250088,0.5265410677031749,0.0,12662518.91025688,0.9956091722686335,1027.61,75.96679411637543,0.0043908277313665,216.04370927927476,0.00025,2.25e-05
1,0.206630890154825,0.4614650651186291,0.0,12728384.885878673,0.512969938689989,1027.61,75.96679411637543,0.4870300613100108,217.45174442226647,0.00025,2.25e-05
2,0.22820194410436,0.493821387130554,0.0,12705552.400554646,0.749801846725799,1027.61,75.96679411637543,0.2501981532742012,216.9633510818496,0.00025,2.25e-05
3,0.1754868582237574,0.4741919941144959,0.0,12728415.192593891,0.5200817106213758,1027.61,75.96679411637543,0.4799182893786241,217.45239290032288,0.00025,2.25e-05
4,0.1347039493153019,0.5139299691725309,0.0,12715386.33452103,0.7047453884460477,1027.61,75.96679411637543,0.2952546115539523,217.17366317406277,0.00025,2.25e-05
5,0.141098808331621,0.5077576011533689,0.0,12718245.440206029,0.6884477004070684,1027.61,75.96679411637543,0.3115522995929316,217.2348199976627,0.00025,2.25e-05
6,0.1720734589654937,0.4841947964069725,0.0,12725436.817110088,0.6021429517869543,1027.61,75.96679411637543,0.3978570482130457,217.38866672585524,0.00025,2.25e-05
7,0.2297240658033651,0.471689694568066,0.0,12719552.707902629,0.6795044363069238,1027.61,75.96679411637543,0.3204955636930762,217.2627843486546,0.00025,2.25e-05
8,0.2521118967048537,0.4959054446598576,0.0,12692982.319199698,0.8286720854737026,1027.61,75.96679411637543,0.1713279145262973,216.69460780397057,0.00025,2.25e-05
9,0.1846983326402267,0.4726712572127037,0.0,12727807.80476245,0.5300614696312255,1027.61,75.96679411637543,0.4699385303687745,217.4393966227828,0.00025,2.25e-05
10,0.2327586219731325,0.5076078295876927,0.0,12690487.958054043,0.8584745603173018,1027.61,75.96679411637543,0.1415254396826982,216.6412907290578,0.00025,2.25e-05
11,0.1830854364192199,0.4948286101281669,0.0,12717801.20981065,0.6934724148206565,1027.61,75.96679411637543,0.3065275851793436,217.22531750012587,0.00025,2.25e-05
12,0.1909615407041249,0.4714850915254032,0.0,12727428.445070928,0.5547595600395864,1027.61,75.96679411637543,0.4452404399604135,217.43127957609656,0.00025,2.25e-05
13,0.1414826453535998,0.5287848688224648,0.0,12702618.44389406,0.7685605967179947,1027.61,75.96679411637543,0.2314394032820053,216.90061572584372,0.00025,2.25e-05
14,0.1369320597141381,0.5293284526148144,0.0,12703144.056027802,0.7717237964263646,1027.61,75.96679411637543,0.2282762035736354,216.9118542498828,0.00025,2.25e-05
15,0.1674780171917712,0.4756447618609404,0.0,12728797.798442235,0.5014825003691963,1027.61,75.96679411637543,0.4985174996308037,217.4605796317636,0.00025,2.25e-05
