PointID,X,Y,Z,phase1::Pressure,phase1::PhaseVolumeFraction,phase1::Density,phase1::Time,phase2::PhaseVolumeFraction,phase2::Density,phase1::Viscosity_0,phase2::Viscosity_0
0,2.128048202349038,1.7277407202749429,0.0,11612416.081069063,0.9999999900000004,1027.61,12.109994191499943,9.999999816686438e-09,193.96535045297105,0.00025,2.25e-05
1,1.3264632554064346,1.4224583088088736,0.0,11856173.106913334,0.9999999899906236,1027.61,12.109994191499943,1.000340643239082e-08,199.02634260741053,0.00025,2.25e-05
2,0.0,2.8629940831331018,0.0,11622993.029471869,0.99999999,1027.61,12.109994191499943,9.999999704526885e-09,194.1841253071251,0.00025,2.25e-05
3,0.5837565044391537,2.191249100207047,0.0,11761858.383991998,0.99999999,1027.61,12.109994191499943,9.999999805743509e-09,197.0634211879645,0.00025,2.25e-05
4,1.0178261106278093,1.4344072254750877,0.0,11926353.727868574,0.9999999899920304,1027.61,12.109994191499943,1.0000682390709984e-08,200.490803938088,0.00025,2.25e-05
5,1.1901078545188046,1.5896988651163668,0.0,11842566.712047478,0.9999999899928949,1027.61,12.109994191499943,1.0002387311923925e-08,198.74279485746445,0.00025,2.25e-05
6,0.3756806368542578,2.082130941884119,0.0,11809483.725456256,0.99999999,1027.61,12.109994191499943,9.999999854518836e-09,198.05388154664385,0.00025,2.25e-05
7,0.7123420887711043,1.703796211522938,0.0,11895794.31105263,0.9999999899926744,1027.61,12.109994191499943,1.0000203752186768e-08,199.8527194431753,0.00025,2.25e-05
8,0.8998789850956153,1.733408975199489,0.0,11856629.767333966,0.9999999899929114,1027.61,12.109994191499943,1.0000210262194811e-08,199.03586122103863,0.00025,2.25e-05
9,0.7599907266216928,1.8547809875001704,0.0,11840808.470295416,0.999999989997888,1027.61,12.109994191499943,9.999999968218475e-09,198.70616329324835,0.00025,2.25e-05
10,0.7787800455010396,1.6062474539373126,0.0,11918016.035204433,0.999999989994662,1027.61,12.109994191499943,1.0000640185363725e-08,200.316650741594,0.00025,2.25e-05
11,0.6335031012131069,2.063157871157655,0.0,11793589.858857,0.99999999,1027.61,12.109994191499943,9.999999851153364e-09,197.72316992104652,0.00025,2.25e-05
12,0.2572621252706211,2.258759872033608,0.0,11763979.545941835,0.9999999900000004,1027.61,12.109994191499943,9.999999600000025e-09,197.10750260881272,0.00025,2.25e-05
13,1.0669011795407366,1.703358469298613,0.0,11835053.682468638,0.9999999899845574,1027.61,12.109994191499943,1.0001573626265905e-08,198.5862812348256,0.00025,2.25e-05
14,0.3306684370057177,2.46806226764358,0.0,11704597.410007026,0.9999999899999996,1027.61,12.109994191499943,1.0000000290789101e-08,195.8745769545839,0.00025,2.25e-05
15,0.1838482157979999,2.7572896777907885,0.0,11642490.585559502,0.99999999,1027.61,12.109994191499943,9.999999676745931e-09,194.58761314162632,0.00025,2.25e-05
16,0.0,2.543624500007266,0.0,11693097.51543804,0.9999999900000004,1027.61,12.109994191499943,9.999999600000017e-09,195.6360829279707,0.00025,2.25e-05
17,0.0,2.378687250006301,0.0,11735249.667816674,0.9999999895717604,1027.61,12.109994191499943,9.99999974418996e-09,196.51070160236725,0.00025,2.25e-05
18,0.9487135845778804,1.3937072659071603,0.0,11955271.197624365,0.9999999899949904,1027.61,12.109994191499943,1.000066352538758e-08,201.0951710839097,0.00025,2.25e-05
19,1.0431408857570377,1.334676066801042,0.0,11951833.044357687,0.9999999899906132,1027.61,12.109994191499943,1.0000698438329293e-08,201.0232858124624,0.00025,2.25e-05
20,0.5816168137268509,1.9591033088495349,0.0,11830039.334563311,0.99999999,1027.61,12.109994191499943,9.999999819772373e-09,198.48184173970188,0.00025,2.25e-05
21,0.7977493141591836,1.965472436477749,0.0,11802783.901307238,0.9999999899765168,1027.61,12.109994191499943,9.999999833629238e-09,197.914454440378,0.00025,2.25e-05
22,0.4780393418448278,2.388180236589914,0.0,11717274.298300264,0.9999999900000004,1027.61,12.109994191499943,9.999999852460006e-09,196.13758331501435,0.00025,2.25e-05
23,0.8452180022309743,1.5086986963516855,0.0,11938696.276783071,0.9999999899937638,1027.61,12.109994191499943,1.0000731143650008e-08,200.74869248679727,0.00025,2.25e-05
24,0.9792701406066292,1.536140272735873,0.0,11902549.88505977,0.9999999899848664,1027.61,12.109994191499943,1.0000807538946613e-08,199.99372361424372,0.00025,2.25e-05
25,0.9271997231388618,1.1561525431711828,0.0,12042515.870187528,0.9999999899896148,1027.61,12.109994191499943,1.0000958225004085e-08,202.92188508940183,0.00025,2.25e-05
26,0.7750201069662799,1.4046100056691362,0.0,11989873.590335956,0.9999999899963792,1027.61,12.109994191499943,1.000062608684156e-08,201.81907371000395,0.00025,2.25e-05
27,0.9271538740047036,1.282879009416333,0.0,11998682.099806365,0.9999999899927084,1027.61,12.109994191499943,1.0000724756211978e-08,202.00347832247428,0.00025,2.25e-05
28,0.8606975225797886,1.2126802026846604,0.0,12040736.740444643,0.999999989993804,1027.61,12.109994191499943,1.000094893165441e-08,202.8845842752285,0.00025,2.25e-05
29,0.913617632073689,1.0795387790222213,0.0,12074713.486801695,0.9999999899947736,1027.61,12.109994191499943,1.000098454092478e-08,203.5972889371156,0.00025,2.25e-05
30,0.8394524874320051,1.2728225487068563,0.0,12023713.202494496,0.999999989991207,1027.61,12.109994191499943,1.0000886469705383e-08,202.52777719534515,0.00025,2.25e-05
31,0.7247081860816373,1.5498967208348011,0.0,11946857.289063323,0.9999999899995056,1027.61,12.109994191499943,1.0000447826621216e-08,200.91926595831717,0.00025,2.25e-05
32,1.0928823997619057,1.0715199196846856,0.0,12020399.594944332,0.99999998999666,1027.61,12.109994191499943,1.0000988250647805e-08,202.45834719739025,0.00025,2.25e-05
33,4.619797016432502,4.675275976733513,0.0,10248317.619713314,0.999999989504994,1027.61,12.109994191499943,1.0225412212307668e-08,166.4021097829872,0.00025,2.25e-05
34,4.8086582826760536,4.5380602342171406,0.0,10257304.177716216,0.9999999895369774,1027.61,12.109994191499943,1.0222828310130016e-08,166.57936574356782,0.00025,2.25e-05
35,1.005946830785611,1.0338273033566563,0.0,12060868.424249412,0.9999999899960944,1027.61,12.109994191499943,1.000109362983796e-08,203.3067807651608,0.00025,2.25e-05
36,1.0100410614503836,1.1138362314279342,0.0,12032910.35631246,0.9999999899927642,1027.61,12.109994191499943,1.0001010312359681e-08,202.72052266504187,0.00025,2.25e-05
37,1.235540847176349,1.3148956924972042,0.0,11908019.804219106,0.9999999899936204,1027.61,12.109994191499943,1.0003883338267472e-08,200.1079153302965,0.00025,2.25e-05
38,1.1385640766622758,1.4727544641308388,0.0,11887077.543876683,0.9999999899987446,1027.61,12.109994191499943,1.0003145501919241e-08,199.6708252782435,0.00025,2.25e-05
39,0.8559390044808107,1.6454410251719942,0.0,11891712.42716949,0.9999999899925192,1027.61,12.109994191499943,1.0000723585875133e-08,199.7675358710081,0.00025,2.25e-05
40,1.1813366166150736,1.1225927226543542,0.0,11977905.668173138,0.999999989986865,1027.61,12.109994191499943,1.0002974551094512e-08,201.5686088010789,0.00025,2.25e-05
41,0.4205093148548874,2.225004486120328,0.0,11764837.40855044,0.9999999900000004,1027.61,12.109994191499943,9.999999777915758e-09,197.12533133423915,0.00025,2.25e-05
42,0.1286310626353105,2.4011921860204373,0.0,11727867.005861562,0.999999989999999,1027.61,12.109994191499943,1.0000000976635488e-08,196.3574320245947,0.00025,2.25e-05
43,0.3788977009257377,2.5551445748705834,0.0,11681119.683016565,0.9999999900000004,1027.61,12.109994191499943,9.999999745650098e-09,195.38777154332877,0.00025,2.25e-05
44,0.8798333870256814,2.0625343683312822,0.0,11764904.591433823,0.9999999899852487,1027.61,12.109994191499943,9.999999841359322e-09,197.12672759860828,0.00025,2.25e-05
45,1.0721050626805968,1.188940131869809,0.0,11989819.933495317,0.9999999899883528,1027.61,12.109994191499943,1.0001402565621177e-08,201.81795056910696,0.00025,2.25e-05
46,0.9000355410085161,1.0029250148732611,0.0,12107240.935142428,0.9999999899953664,1027.61,12.109994191499943,1.000004992739122e-08,204.2802956719545,0.00025,2.25e-05
47,0.961995527105261,1.8677870017978424,0.0,11807010.691579577,0.9999999899859762,1027.61,12.109994191499943,1.0000012993125985e-08,198.0024128413608,0.00025,2.25e-05
48,0.0916487660833038,2.7054691909151733,0.0,11655934.01747818,0.99999999,1027.61,12.109994191499943,9.999999666375284e-09,194.86596467334311,0.00025,2.25e-05
49,1.2355549529050982,1.4791879328847022,0.0,11862434.065755306,0.9999999899895836,1027.61,12.109994191499943,1.000340268984842e-08,199.1568578575053,0.00025,2.25e-05
50,0.472456208042851,4.5698368694785,0.0,11406835.789126366,0.9999999899919751,1027.61,12.109994191499943,9.99999961344074e-09,189.7282009204957,0.00025,2.25e-05
51,0.4308155545179881,2.948172153064301,0.0,11594707.802431492,0.9999999900000004,1027.61,12.109994191499943,9.999999683005224e-09,193.59923971663332,0.00025,2.25e-05
52,2.973284027547305,5.0,0.0,10975418.130455649,0.9999999900000004,1027.61,12.109994191499943,9.999999898987745e-09,180.93110559474823,0.00025,2.25e-05
53,1.6556950296914488,4.640237434284499,0.0,11287910.959516002,0.9999999900000004,1027.61,12.109994191499943,9.999999686199397e-09,187.2902931411928,0.00025,2.25e-05
54,1.2758524911069002,2.8394137463562297,0.0,11540790.691469258,0.9999999899957428,1027.61,12.109994191499943,9.999999716124217e-09,192.48583630478424,0.00025,2.25e-05
55,0.9779314204763097,2.4445560920793903,0.0,11657670.02305693,0.9999999899976072,1027.61,12.109994191499943,9.999999748446356e-09,194.90191823350665,0.00025,2.25e-05
56,3.3384092104628653,3.3463971443491296,0.0,11087471.257558636,0.9999999899996728,1027.61,12.109994191499943,9.999999832543082e-09,183.20353038630677,0.00025,2.25e-05
