t_seconds,time_ratio,S_thr,A_pred_m2,r_eq_from_area_m,r_contour_mean_m,r_contour_p95_m,n_contour_points
0.10000000149011612,5.77327761401935e-06,0.5,0.019375000000000003,0.07853186642892772,0.5221269711311012,0.54106782555249,38
0.20999999344348907,1.2123882430255132e-05,0.5,0.019375000000000003,0.07853186642892772,0.5221406147424288,0.5410814654398047,38
0.3310000002384186,1.9109548631414153e-05,0.5,0.019375000000000003,0.07853186642892772,0.5221556193944038,0.5410964618987116,38
0.4641000032424927,2.6793781194603457e-05,0.5,0.019375000000000003,0.07853186642892772,0.5221721204931624,0.5411129490343294,38
0.610509991645813,3.52464361538263e-05,0.5,0.019375000000000003,0.07853186642892772,0.5221902668413718,0.5411310740408918,38
0.7715610265731812,4.4544359361884684e-05,0.5,0.019375000000000003,0.07853186642892772,0.5222102219554814,0.541150998451687,38
0.9487171173095703,5.4772072137835646e-05,0.5,0.019375000000000003,0.07853186642892772,0.5222321654719504,0.5411728994638482,38
1.1435887813568115,6.602255412669677e-05,0.5,0.019375000000000003,0.07853186642892772,0.522256294748046,0.5411969714405412,38
1.3579477071762085,7.839808982027052e-05,0.5,0.019375000000000003,0.07853186642892772,0.5222828265821962,0.5412234275121359,38
1.5937424898147583,9.201117701851669e-05,0.5,0.019375000000000003,0.07853186642892772,0.522311999046735,0.5412525012651846,38
1.853116750717163,0.00010698557293658748,0.5,0.019375000000000003,0.07853186642892772,0.5223440735910894,0.5412844486718297,38
2.1384284496307373,0.00012345740913469367,0.5,0.020000000000000004,0.07978845608028655,0.5223793281518635,0.5413195501013739,38
2.4522712230682373,0.00014157642344678396,0.5,0.020000000000000004,0.07978845608028655,0.5224179216161481,0.5413581125038979,38
2.7974982261657715,0.00016150733643717006,0.5,0.020000000000000004,0.07978845608028655,0.5224603479299353,0.5414004718086756,38
3.177248239517212,0.00018343135862053088,0.5,0.020000000000000004,0.07978845608028655,0.5225069849087732,0.5414469954890315,38
3.594973087310791,0.0002075477733870314,0.5,0.020000000000000004,0.07978845608028655,0.5225582469063842,0.5414980851549097,38
4.054470062255859,0.0002340758089833326,0.5,0.020000000000000004,0.07978845608028655,0.5226145883724326,0.5415541795994591,38
4.559917449951172,0.00026325668943296267,0.5,0.020000000000000004,0.07978845608028655,0.5226765077007778,0.5416157580327859,38
5.115909099578857,0.00029535563039842326,0.5,0.020000000000000004,0.07978845608028655,0.5227445508542402,0.5416833429733037,38
5.727499961853027,0.00033066446821334314,0.5,0.020000000000000004,0.07978845608028655,0.5228193162049576,0.5417575042057264,38
6.40024995803833,0.0003695041925626683,0.5,0.020000000000000004,0.07978845608028655,0.5229014590160685,0.5418388622132987,38
7.140275001525879,0.00041222789209983913,0.5,0.020000000000000004,0.07978845608028655,0.522991696615199,0.5419280920991638,38
7.9543023109436035,0.00045922394782616085,0.5,0.020000000000000004,0.07978845608028655,0.5230908138730933,0.5420259275776761,38
8.849732398986816,0.000510919611878028,0.5,0.020000000000000004,0.07978845608028655,0.523199669235568,0.5421331652415585,38
9.83470630645752,0.0005677848891346071,0.5,0.020000000000000004,0.07978845608028655,0.5233192010838511,0.5422506688374575,38
10.918176651000977,0.0006303366390585792,0.5,0.020625000000000004,0.08102556018035718,0.5234502854794163,0.5423793732756758,38
12.109993934631348,0.0006991435584691219,0.5,0.020625000000000004,0.08102556018035718,0.5235934229507156,0.5425202896137844,38
13.42099380493164,0.0007748312193731574,0.5,0.020625000000000004,0.08102556018035718,0.5237504963448723,0.54267450916722,38
14.863093376159668,0.0008580876298501169,0.5,0.021250000000000005,0.08224405803099427,0.5239224036003008,0.5428432075684313,38
16.44940185546875,0.000949669620810681,0.5,0.021250000000000005,0.08224405803099427,0.5241107465709952,0.5430276492161252,38
18.1943416595459,0.0010504098383964339,0.5,0.021250000000000005,0.08224405803099427,0.5243172305672301,0.5432291914708745,38
20.11377716064453,0.001161224176845639,0.5,0.021250000000000005,0.08224405803099427,0.5245435323064683,0.5434492880750867,38
22.225154876708984,0.0012831198720581938,0.5,0.021250000000000005,0.08224405803099427,0.5247914695378979,0.5436894920522591,38
24.547670364379883,0.0014172051367920039,0.5,0.021250000000000005,0.08224405803099427,0.5250630115826043,0.5439514596086479,38
27.102436065673828,0.0015646988509176241,0.5,0.022500000000000003,0.08462843753216345,0.5236970137282085,0.5437694862513845,44
29.91267967224121,0.0017269420135373774,0.5,0.022500000000000003,0.08462843753216345,0.524027280383643,0.5440819052941451,44
33.00394821166992,0.0019054095254540649,0.5,0.022500000000000003,0.08462843753216345,0.5243925249986656,0.5444218290193098,44
35.55635452270508,0.0020527670254320766,0.5,0.022500000000000003,0.08462843753216345,0.5246955576365656,0.544699625361083,44
38.28925323486328,0.0022105448526438566,0.5,0.023125000000000003,0.08579578146972122,0.5255767994140753,0.5464683597774997,45
41.10405731201172,0.0023730513038868364,0.5,0.023750000000000004,0.08694745422877562,0.525905193895034,0.5467694216723588,45
44.173431396484375,0.00255025478815567,0.5,0.024375000000000004,0.08808407049932411,0.5262568599940164,0.547095980770976,45
47.10590744018555,0.0027195547686003838,0.5,0.024375000000000004,0.08808407049932411,0.5265896268827519,0.5474063117093516,45
49.933502197265625,0.0028827996612935344,0.5,0.024375000000000004,0.08808407049932411,0.5269088800653294,0.5477040255535437,45
